# LESSON 1

よじ　	four o'clock
くじ　	nine o'clock
しちじ　	seven o'clock
ロンドン 	london
ストックホルム 	stockholm
はたち　	twenty


# LESSON  2

わかりましたか 	do you understand? 
わかりました　	I understand
わかりません　	I don't understand / I don't know
ゆっくりいってください　	Please, say it slowly
もういちどいってください　	Please, say it again
ちょっとまってください　	Please wait
きいてください　	Please listen / Pleas
10ペエジをみてください　	Please look at page 10
こくばん　	blackboard
けしゴム 	eraser
まど 	window
ドア 	door
いす 	chair
いらっしゃいませ 	welcome
どうぞ 	Please, here it is
どうも 	Thank you
さんびゃく 	300
ろっぴゃく 	600
はっぴゃく 	800
さんぜん 	3000
はっせん 	8000
カレー 	curry
コーラ 	cola
サラダ 	salad
ジュース 	juice
ミルク　	milk
